Year,Month,Day,Hour,Month_Sin,Month_Cos,CO2_Lag1,CO2_Moving_Avg,Predicted_Carbon_Emissions
2024,8,31,0,-0.8660254037844385,-0.5000000000000004,7.155162082432026,7.1578881667334215,1160.127620929322
2024,9,30,0,-1.0,-1.8369701987210297e-16,7.05714689893784,7.123218327227021,1133.9994038369332
2024,10,31,0,-0.8660254037844386,0.5000000000000001,7.034387404661562,7.082232128677142,1187.123015145126
2024,11,30,0,-0.5000000000000004,0.8660254037844384,7.080130042663813,7.057221448754405,1159.8396161751716
2024,12,31,0,-2.4492935982947064e-16,1.0,7.0568988293259824,7.057138758883785,1159.8914943745808
2025,1,31,0,0.49999999999999994,0.8660254037844387,7.0569435185659914,7.0646574635185955,1168.450421832359
2025,2,28,0,0.8660254037844386,0.5000000000000001,7.06428919250688,7.059377180132952,1163.5088142969828
2025,3,31,0,1.0,6.123233995736766e-17,7.060054658464477,7.060429123179116,1163.7634652615277
2025,4,30,0,0.8660254037844387,-0.4999999999999998,7.060273311275309,7.061539054082222,1165.0250219353486
2025,5,31,0,0.49999999999999994,-0.8660254037844387,7.061355826315988,7.060561265351925,1163.9327706679364
2025,6,30,0,1.2246467991473532e-16,-1.0,7.060418656753484,7.060682598114927,1163.898591478746
2025,7,31,0,-0.4999999999999997,-0.8660254037844388,7.060389316270093,7.060721266446522,1163.898591478746
